Sexo de los cónyuges;Mes;Total
Total matrimonios;Enero;5.505
Total matrimonios;Febrero;6.259
Total matrimonios;Marzo;7.784
Total matrimonios;Abril;9.006
Total matrimonios;Mayo;13.096
Total matrimonios;Junio;18.256
Total matrimonios;Julio;19.605
Total matrimonios;Agosto;10.558
Total matrimonios;Septiembre;19.784
Total matrimonios;Octubre;18.174
Total matrimonios;Noviembre;10.907
Total matrimonios;Diciembre;8.889
Total matrimonios;Total;147.823
Matrimonios de distinto sexo;Enero;5.257
Matrimonios de distinto sexo;Febrero;6.013
Matrimonios de distinto sexo;Marzo;7.478
Matrimonios de distinto sexo;Abril;8.623
Matrimonios de distinto sexo;Mayo;12.599
Matrimonios de distinto sexo;Junio;17.695
Matrimonios de distinto sexo;Julio;18.967
Matrimonios de distinto sexo;Agosto;10.324
Matrimonios de distinto sexo;Septiembre;19.169
Matrimonios de distinto sexo;Octubre;17.587
Matrimonios de distinto sexo;Noviembre;10.506
Matrimonios de distinto sexo;Diciembre;8.570
Matrimonios de distinto sexo;Total;142.788
Matrimonios  del mismo sexo;Enero;248
Matrimonios  del mismo sexo;Febrero;246
Matrimonios  del mismo sexo;Marzo;306
Matrimonios  del mismo sexo;Abril;383
Matrimonios  del mismo sexo;Mayo;497
Matrimonios  del mismo sexo;Junio;561
Matrimonios  del mismo sexo;Julio;638
Matrimonios  del mismo sexo;Agosto;234
Matrimonios  del mismo sexo;Septiembre;615
Matrimonios  del mismo sexo;Octubre;587
Matrimonios  del mismo sexo;Noviembre;401
Matrimonios  del mismo sexo;Diciembre;319
Matrimonios  del mismo sexo;Total;5.035
Matrimonios entre hombres;Enero;110
Matrimonios entre hombres;Febrero;100
Matrimonios entre hombres;Marzo;132
Matrimonios entre hombres;Abril;144
Matrimonios entre hombres;Mayo;202
Matrimonios entre hombres;Junio;225
Matrimonios entre hombres;Julio;259
Matrimonios entre hombres;Agosto;88
Matrimonios entre hombres;Septiembre;261
Matrimonios entre hombres;Octubre;284
Matrimonios entre hombres;Noviembre;189
Matrimonios entre hombres;Diciembre;164
Matrimonios entre hombres;Total;2.158
Matrimonios entre mujeres;Enero;138
Matrimonios entre mujeres;Febrero;146
Matrimonios entre mujeres;Marzo;174
Matrimonios entre mujeres;Abril;239
Matrimonios entre mujeres;Mayo;295
Matrimonios entre mujeres;Junio;336
Matrimonios entre mujeres;Julio;379
Matrimonios entre mujeres;Agosto;146
Matrimonios entre mujeres;Septiembre;354
Matrimonios entre mujeres;Octubre;303
Matrimonios entre mujeres;Noviembre;212
Matrimonios entre mujeres;Diciembre;155
Matrimonios entre mujeres;Total;2.877
