Tipo de separación,Tipo de matrimonio,Periodo,Total,Tipo sexo,Tipo separacion
Separación de mutuo acuerdo,Entre personas del mismo sexo,2021,63,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2020,2,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2019,19,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2018,8,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2017,15,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2016,34,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2015,8,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2014,8,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas del mismo sexo,2013,4,mismo,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2021,3166,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2020,2467,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2019,3101,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2018,3480,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2017,3573,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2016,3672,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2015,4005,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2014,4299,distinto,acuerdo
Separación de mutuo acuerdo,Entre personas de distinto sexo,2013,4106,distinto,acuerdo
Separación contenciosa,Entre personas del mismo sexo,2021,4,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2020,2,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2019,0,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2018,3,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2017,10,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2016,3,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2015,2,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2014,1,mismo,contencioso
Separación contenciosa,Entre personas del mismo sexo,2013,0,mismo,contencioso
Separación contenciosa,Entre personas de distinto sexo,2021,440,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2020,304,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2019,479,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2018,607,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2017,683,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2016,645,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2015,637,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2014,726,distinto,contencioso
Separación contenciosa,Entre personas de distinto sexo,2013,790,distinto,contencioso
