Tipo de matrimonio,Periodo,Total,id_gen
Entre personas del mismo sexo,2021,0,3
Entre personas del mismo sexo,2020,1,3
Entre personas del mismo sexo,2019,4,3
Entre personas del mismo sexo,2018,2,3
Entre personas del mismo sexo,2017,0,3
Entre personas del mismo sexo,2016,2,3
Entre personas del mismo sexo,2015,6,3
Entre personas del mismo sexo,2014,0,3
Entre personas del mismo sexo,2013,3,3
Entre personas de distinto sexo,2021,57,0
Entre personas de distinto sexo,2020,39,0
Entre personas de distinto sexo,2019,71,0
Entre personas de distinto sexo,2018,90,0
Entre personas de distinto sexo,2017,100,0
Entre personas de distinto sexo,2016,115,0
Entre personas de distinto sexo,2015,138,0
Entre personas de distinto sexo,2014,113,0
Entre personas de distinto sexo,2013,107,0
