Tipo de separación,Tipo de matrimonio,Periodo,Total
Separación de mutuo acuerdo,Entre personas del mismo sexo,2020,2
Separación de mutuo acuerdo,Entre personas del mismo sexo,2019,19
Separación de mutuo acuerdo,Entre personas del mismo sexo,2018,8
Separación de mutuo acuerdo,Entre personas del mismo sexo,2017,15
Separación de mutuo acuerdo,Entre personas del mismo sexo,2016,34
Separación de mutuo acuerdo,Entre personas del mismo sexo,2015,8
Separación de mutuo acuerdo,Entre personas del mismo sexo,2014,8
Separación de mutuo acuerdo,Entre personas del mismo sexo,2013,4
Separación de mutuo acuerdo,Entre personas de distinto sexo,2020,2467
Separación de mutuo acuerdo,Entre personas de distinto sexo,2019,3101
Separación de mutuo acuerdo,Entre personas de distinto sexo,2018,3480
Separación de mutuo acuerdo,Entre personas de distinto sexo,2017,3573
Separación de mutuo acuerdo,Entre personas de distinto sexo,2016,3672
Separación de mutuo acuerdo,Entre personas de distinto sexo,2015,4005
Separación de mutuo acuerdo,Entre personas de distinto sexo,2014,4299
Separación de mutuo acuerdo,Entre personas de distinto sexo,2013,4106
Separación contenciosa,Entre personas del mismo sexo,2020,2
Separación contenciosa,Entre personas del mismo sexo,2019,0
Separación contenciosa,Entre personas del mismo sexo,2018,3
Separación contenciosa,Entre personas del mismo sexo,2017,10
Separación contenciosa,Entre personas del mismo sexo,2016,3
Separación contenciosa,Entre personas del mismo sexo,2015,2
Separación contenciosa,Entre personas del mismo sexo,2014,1
Separación contenciosa,Entre personas del mismo sexo,2013,0
Separación contenciosa,Entre personas de distinto sexo,2020,304
Separación contenciosa,Entre personas de distinto sexo,2019,479
Separación contenciosa,Entre personas de distinto sexo,2018,607
Separación contenciosa,Entre personas de distinto sexo,2017,683
Separación contenciosa,Entre personas de distinto sexo,2016,645
Separación contenciosa,Entre personas de distinto sexo,2015,637
Separación contenciosa,Entre personas de distinto sexo,2014,726
Separación contenciosa,Entre personas de distinto sexo,2013,790
